JobID|JobName|Partition|State|Start|End|AllocNodes|AllocCPUS|NodeList
410535|CLIP_Relabeled_Test|jsteinhardt|COMPLETED|2024-03-22T20:57:52|2024-03-22T20:59:45|1|16|shadowfax
410535.batch|batch||COMPLETED|2024-03-22T20:57:52|2024-03-22T20:59:45|1|16|shadowfax
410535.extern|extern||COMPLETED|2024-03-22T20:57:52|2024-03-22T20:59:45|1|16|shadowfax
410538|CLIP_Relabeled_Test|jsteinhardt|COMPLETED|2024-03-22T21:04:22|2024-03-22T21:05:51|1|16|shadowfax
410538.batch|batch||COMPLETED|2024-03-22T21:04:22|2024-03-22T21:05:51|1|16|shadowfax
410538.extern|extern||COMPLETED|2024-03-22T21:04:22|2024-03-22T21:05:51|1|16|shadowfax
410541|CLIP_Relabeled_Test|jsteinhardt|COMPLETED|2024-03-22T21:08:52|2024-03-22T21:10:17|1|16|shadowfax
410541.batch|batch||COMPLETED|2024-03-22T21:08:52|2024-03-22T21:10:17|1|16|shadowfax
410541.extern|extern||COMPLETED|2024-03-22T21:08:52|2024-03-22T21:10:17|1|16|shadowfax
410543|CLIP_Relabeled_Test|jsteinhardt|COMPLETED|2024-03-22T21:12:52|2024-03-22T21:14:24|1|16|shadowfax
410543.batch|batch||COMPLETED|2024-03-22T21:12:52|2024-03-22T21:14:24|1|16|shadowfax
410543.extern|extern||COMPLETED|2024-03-22T21:12:52|2024-03-22T21:14:24|1|16|shadowfax
410546|CLIP_Relabeled_Test|jsteinhardt|COMPLETED|2024-03-22T21:15:52|2024-03-22T21:17:24|1|16|shadowfax
410546.batch|batch||COMPLETED|2024-03-22T21:15:52|2024-03-22T21:17:24|1|16|shadowfax
